search_term,area,date,search_intensity
excel,China,2017-06-10,16677
excel,China,2017-06-11,15231
excel,China,2017-06-12,29632
excel,China,2017-06-13,29746
excel,China,2017-06-14,30703
excel,China,2017-06-15,30631
excel,China,2017-06-16,27642
excel,China,2017-06-17,16683
excel,China,2017-06-18,14780
excel,China,2017-06-19,30124
excel,China,2017-06-20,31118
excel,China,2017-06-21,31188
excel,China,2017-06-22,32665
excel,China,2017-06-23,29712
excel,China,2017-06-24,19094
excel,China,2017-06-25,17733
excel,China,2017-06-26,31236
excel,China,2017-06-27,31195
excel,China,2017-06-28,30422
excel,China,2017-06-29,30671
excel,China,2017-06-30,29725
excel,China,2017-07-01,21334
excel,China,2017-07-02,18411
excel,China,2017-07-03,33285
excel,China,2017-07-04,33810
excel,China,2017-07-05,32650
excel,China,2017-07-06,32434
excel,China,2017-07-07,29930
excel,China,2017-07-08,19613
excel,China,2017-07-09,17557
excel,China,2017-07-10,30737
excel,China,2017-07-11,29090
excel,China,2017-07-12,28869
excel,China,2017-07-13,27898
excel,China,2017-07-14,25893
excel,China,2017-07-15,15865
excel,China,2017-07-16,13804
excel,China,2017-07-17,27620
excel,China,2017-07-18,27890
excel,China,2017-07-19,27990
excel,China,2017-07-20,27294
excel,China,2017-07-21,25723
excel,China,2017-07-22,15302
excel,China,2017-07-23,14007
excel,China,2017-07-24,27375
excel,China,2017-07-25,27292
excel,China,2017-07-26,27280
excel,China,2017-07-27,26977
excel,China,2017-07-28,25105
excel,China,2017-07-29,15404
excel,China,2017-07-30,13602
excel,China,2017-07-31,26937
excel,China,2017-08-01,29499
excel,China,2017-08-02,28855
excel,China,2017-08-03,28121
excel,China,2017-08-04,25533
excel,China,2017-08-05,15242
excel,China,2017-08-06,13340
excel,China,2017-08-07,26243
excel,China,2017-08-08,26051
excel,China,2017-08-09,25752
excel,China,2017-08-10,25487
excel,China,2017-08-11,23635
excel,China,2017-08-12,14299
excel,China,2017-08-13,12408
excel,China,2017-08-14,24805
excel,China,2017-08-15,25037
excel,China,2017-08-16,24356
excel,China,2017-08-17,24699
excel,China,2017-08-18,23897
excel,China,2017-08-19,15039
excel,China,2017-08-20,13568
excel,China,2017-08-21,24290
excel,China,2017-08-22,23844
excel,China,2017-08-23,23022
excel,China,2017-08-24,23167
excel,China,2017-08-25,20581
excel,China,2017-08-26,12487
excel,China,2017-08-27,11163
excel,China,2017-08-28,20482
excel,China,2017-08-29,22246
excel,China,2017-08-30,22671
excel,China,2017-08-31,23711
excel,China,2017-09-01,23531
excel,China,2017-09-02,15180
excel,China,2017-09-03,13463
excel,China,2017-09-04,25918
excel,China,2017-09-05,26475
excel,China,2017-09-06,25888
excel,China,2017-09-07,25726
excel,China,2017-09-08,23126
excel,China,2017-09-09,14701
excel,China,2017-09-10,13488
excel,China,2017-09-11,25267
excel,China,2017-09-12,25707
excel,China,2017-09-13,25735
excel,China,2017-09-14,26221
excel,China,2017-09-15,25818
excel,China,2017-09-16,16381
excel,China,2017-09-17,15282
excel,China,2017-09-18,27265
excel,China,2017-09-19,28095
excel,China,2017-09-20,27036
excel,China,2017-09-21,27626
excel,China,2017-09-22,26416
excel,China,2017-09-23,18211
excel,China,2017-09-24,15677
excel,China,2017-09-25,26836
excel,China,2017-09-26,27198
excel,China,2017-09-27,26418
excel,China,2017-09-28,25762
excel,China,2017-09-29,23704
excel,China,2017-09-30,19424
excel,China,2017-10-01,10621
excel,China,2017-10-02,10176
excel,China,2017-10-03,9223
excel,China,2017-10-04,7291
excel,China,2017-10-05,9564
excel,China,2017-10-06,11351
excel,China,2017-10-07,12578
excel,China,2017-10-08,14379
excel,China,2017-10-09,28375
excel,China,2017-10-10,29266
excel,China,2017-10-11,28758
excel,China,2017-10-12,28484
excel,China,2017-10-13,26565
excel,China,2017-10-14,16257
excel,China,2017-10-15,14262
excel,China,2017-10-16,26826
excel,China,2017-10-17,27355
excel,China,2017-10-18,25864
excel,China,2017-10-19,26210
excel,China,2017-10-20,24833
excel,China,2017-10-21,15316
excel,China,2017-10-22,14020
excel,China,2017-10-23,26317
excel,China,2017-10-24,26362
excel,China,2017-10-25,26537
excel,China,2017-10-26,25966
excel,China,2017-10-27,23778
excel,China,2017-10-28,14449
excel,China,2017-10-29,13474
excel,China,2017-10-30,27122
excel,China,2017-10-31,27319
excel,China,2017-11-01,29326
excel,China,2017-11-02,29053
excel,China,2017-11-03,25042
excel,China,2017-11-04,15063
excel,China,2017-11-05,13716
excel,China,2017-11-06,29100
excel,China,2017-11-07,28788
excel,China,2017-11-08,28439
excel,China,2017-11-09,27836
excel,China,2017-11-10,24465
excel,China,2017-11-11,13032
excel,China,2017-11-12,13157
excel,China,2017-11-13,27453
excel,China,2017-11-14,28001
excel,China,2017-11-15,27149
excel,China,2017-11-16,28634
excel,China,2017-11-17,25899
excel,China,2017-11-18,14643
excel,China,2017-11-19,12830
excel,China,2017-11-20,26214
excel,China,2017-11-21,26579
excel,China,2017-11-22,26310
excel,China,2017-11-23,26143
excel,China,2017-11-24,23616
excel,China,2017-11-25,14067
excel,China,2017-11-26,12867
excel,China,2017-11-27,27411
excel,China,2017-11-28,27741
excel,China,2017-11-29,29305
excel,China,2017-11-30,29732
excel,China,2017-12-01,28469
excel,China,2017-12-02,16372
excel,China,2017-12-03,15034
